INSTANCE_NAME v_100_a360_r0_b1
NB_VERTICES 100
NB_ARCS 360
NB_BLOCKAGES 1


VERTICES
1 1 9
2 2 9
3 3 9
4 4 9
5 5 9
6 6 9
7 7 9
8 8 9
9 9 9
10 10 9
11 1 8
12 2 8
13 3 8
14 4 8
15 5 8
16 6 8
17 7 8
18 8 8
19 9 8
20 10 8
21 1 7
22 2 7
23 3 7
24 4 7
25 5 7
26 6 7
27 7 7
28 8 7
29 9 7
30 10 7
31 1 6
32 2 6
33 3 6
34 4 6
35 5 6
36 6 6
37 7 6
38 8 6
39 9 6
40 10 6
41 1 5
42 2 5
43 3 5
44 4 5
45 5 5
46 6 5
47 7 5
48 8 5
49 9 5
50 10 5
51 1 4
52 2 4
53 3 4
54 4 4
55 5 4
56 6 4
57 7 4
58 8 4
59 9 4
60 10 4
61 1 3
62 2 3
63 3 3
64 4 3
65 5 3
66 6 3
67 7 3
68 8 3
69 9 3
70 10 3
71 1 2
72 2 2
73 3 2
74 4 2
75 5 2
76 6 2
77 7 2
78 8 2
79 9 2
80 10 2
81 1 1
82 2 1
83 3 1
84 4 1
85 5 1
86 6 1
87 7 1
88 8 1
89 9 1
90 10 1
91 1 0
92 2 0
93 3 0
94 4 0
95 5 0
96 6 0
97 7 0
98 8 0
99 9 0
100 10 0


ARCS
1 11 1
11 1 1
1 2 1
2 1 1
2 12 1
12 2 1
2 3 1
3 2 1
3 13 1
13 3 1
3 4 1
4 3 1
4 14 1
14 4 1
4 5 1
5 4 1
5 15 1
15 5 1
5 6 1
6 5 1
6 16 1
16 6 1
6 7 1
7 6 1
7 17 1
17 7 1
7 8 1
8 7 1
8 18 1
18 8 1
8 9 1
9 8 1
9 19 1
19 9 1
9 10 1
10 9 1
10 20 1
20 10 1
11 21 1
21 11 1
11 12 1
12 11 1
12 22 1
22 12 1
12 13 1
13 12 1
13 23 1
23 13 1
13 14 1
14 13 1
14 24 1
24 14 1
14 15 1
15 14 1
15 25 1
25 15 1
15 16 1
16 15 1
16 26 1
26 16 1
16 17 1
17 16 1
17 27 1
27 17 1
17 18 1
18 17 1
18 28 1
28 18 1
18 19 1
19 18 1
19 29 1
29 19 1
19 20 1
20 19 1
20 30 1
30 20 1
21 31 1
31 21 1
21 22 1
22 21 1
22 32 1
32 22 1
22 23 1
23 22 1
23 33 1
33 23 1
23 24 1
24 23 1
24 34 1
34 24 1
24 25 1
25 24 1
25 35 1
35 25 1
25 26 1
26 25 1
26 36 1
36 26 1
26 27 1
27 26 1
27 37 1
37 27 1
27 28 1
28 27 1
28 38 1
38 28 1
28 29 1
29 28 1
29 39 1
39 29 1
29 30 1
30 29 1
30 40 1
40 30 1
31 41 1
41 31 1
31 32 1
32 31 1
32 42 1
42 32 1
32 33 1
33 32 1
33 43 1
43 33 1
33 34 1
34 33 1
34 44 1
44 34 1
34 35 1
35 34 1
35 45 1
45 35 1
35 36 1
36 35 1
36 46 1
46 36 1
36 37 1
37 36 1
37 47 1
47 37 1
37 38 1
38 37 1
38 48 1
48 38 1
38 39 1
39 38 1
39 49 1
49 39 1
39 40 1
40 39 1
40 50 1
50 40 1
41 51 1
51 41 1
41 42 1
42 41 1
42 52 1
52 42 1
42 43 1
43 42 1
43 53 1
53 43 1
43 44 1
44 43 1
44 54 1
54 44 1
44 45 1
45 44 1
45 55 1
55 45 1
45 46 1
46 45 1
46 56 1
56 46 1
46 47 1
47 46 1
47 57 1
57 47 1
47 48 1
48 47 1
48 58 1
58 48 1
48 49 1
49 48 1
49 59 1
59 49 1
49 50 1
50 49 1
50 60 1
60 50 1
51 61 1
61 51 1
51 52 1
52 51 1
52 62 1
62 52 1
52 53 1
53 52 1
53 63 1
63 53 1
53 54 1
54 53 1
54 64 1
64 54 1
54 55 1
55 54 1
55 65 1
65 55 1
55 56 1
56 55 1
56 66 1
66 56 1
56 57 1
57 56 1
57 67 1
67 57 1
57 58 1
58 57 1
58 68 1
68 58 1
58 59 1
59 58 1
59 69 1
69 59 1
59 60 1
60 59 1
60 70 1
70 60 1
61 71 1
71 61 1
61 62 1
62 61 1
62 72 1
72 62 1
62 63 1
63 62 1
63 73 1
73 63 1
63 64 1
64 63 1
64 74 1
74 64 1
64 65 1
65 64 1
65 75 1
75 65 1
65 66 1
66 65 1
66 76 1
76 66 1
66 67 1
67 66 1
67 77 1
77 67 1
67 68 1
68 67 1
68 78 1
78 68 1
68 69 1
69 68 1
69 79 1
79 69 1
69 70 1
70 69 1
70 80 1
80 70 1
71 81 1
81 71 1
71 72 1
72 71 1
72 82 1
82 72 1
72 73 1
73 72 1
73 83 1
83 73 1
73 74 1
74 73 1
74 84 1
84 74 1
74 75 1
75 74 1
75 85 1
85 75 1
75 76 1
76 75 1
76 86 1
86 76 1
76 77 1
77 76 1
77 87 1
87 77 1
77 78 1
78 77 1
78 88 1
88 78 1
78 79 1
79 78 1
79 89 1
89 79 1
79 80 1
80 79 1
80 90 1
90 80 1
81 91 1
91 81 1
81 82 1
82 81 1
82 92 1
92 82 1
82 83 1
83 82 1
83 93 1
93 83 1
83 84 1
84 83 1
84 94 1
94 84 1
84 85 1
85 84 1
85 95 1
95 85 1
85 86 1
86 85 1
86 96 1
96 86 1
86 87 1
87 86 1
87 97 1
97 87 1
87 88 1
88 87 1
88 98 1
98 88 1
88 89 1
89 88 1
89 99 1
99 89 1
89 90 1
90 89 1
90 100 1
100 90 1
91 92 1
92 91 1
92 93 1
93 92 1
93 94 1
94 93 1
94 95 1
95 94 1
95 96 1
96 95 1
96 97 1
97 96 1
97 98 1
98 97 1
98 99 1
99 98 1
99 100 1
100 99 1


REQUESTS

BLOCKAGES

2 12

END
